Request → GET https://api-testnet.bybit.com/v5/account/wallet-balance: accountType=UNIFIED.
2026-01-01 11:19:09 | INFO     | trading_bot | main.py:457 | Received shutdown signal 2
2026-01-01 11:19:09 | INFO     | trading_bot | main.py:457 | Received shutdown signal 2
2026-01-01 11:19:10 | INFO     | trading_bot | main.py:457 | Received shutdown signal 2
2026-01-01 11:19:10 | INFO     | trading_bot | main.py:457 | Received shutdown signal 2
2026-01-01 11:19:50 | INFO     | trading_bot | main.py:457 | Received shutdown signal 2
2026-01-01 11:19:50 | INFO     | trading_bot | main.py:457 | Received shutdown signal 2
2026-01-01 11:19:50 | INFO     | trading_bot | main.py:457 | Received shutdown signal 2
2026-01-01 11:20:05 | INFO     | trading_bot | main.py:63 | Initializing trading bot...
2026-01-01 11:20:05 | INFO     | trading_bot | main.py:69 | Environment: Demo
2026-01-01 11:20:05 | INFO     | trading_bot | main.py:70 | Enabled coins: ['BTC', 'ETH', 'SOL', 'XRP', 'DOGE', 'BNB', 'ADA', 'AVAX', 'LINK', 'DOT']
2026-01-01 11:20:05 | INFO     | trading_bot | main.py:83 | Bybit API connection successful
2026-01-01 11:20:12 | ERROR    | trading_bot | main.py:166 | Failed to update balance: Http status code is not 200. (ErrCode: 401) (ErrTime: 04:20:12).
Request → GET https://api-demo.bybit.com/v5/account/wallet-balance: accountType=UNIFIED.
2026-01-01 11:20:12 | INFO     | trading_bot | main.py:133 | Trading bot initialized successfully
2026-01-01 11:20:13 | INFO     | trading_bot | main.py:182 | Trading bot started
2026-01-01 11:20:13 | INFO     | trading_bot | main.py:200 | Starting main loop with 5m timeframe (300s interval)
2026-01-01 11:20:20 | ERROR    | trading_bot | main.py:166 | Failed to update balance: Http status code is not 200. (ErrCode: 401) (ErrTime: 04:20:20).
Request → GET https://api-demo.bybit.com/v5/account/wallet-balance: accountType=UNIFIED.
2026-01-01 11:20:29 | INFO     | trading_bot | main.py:457 | Received shutdown signal 2
2026-01-01 11:20:29 | INFO     | trading_bot | main.py:457 | Received shutdown signal 2
2026-01-01 11:20:29 | INFO     | trading_bot | main.py:457 | Received shutdown signal 2
2026-01-01 11:22:00 | INFO     | trading_bot | main.py:63 | Initializing trading bot...
2026-01-01 11:22:00 | INFO     | trading_bot | main.py:69 | Environment: Demo
2026-01-01 11:22:00 | INFO     | trading_bot | main.py:70 | Enabled coins: ['BTC', 'ETH', 'SOL', 'XRP', 'DOGE', 'BNB', 'ADA', 'AVAX', 'LINK', 'DOT']
2026-01-01 11:22:00 | INFO     | trading_bot | main.py:83 | Bybit API connection successful
2026-01-01 11:22:07 | ERROR    | trading_bot | main.py:166 | Failed to update balance: Http status code is not 200. (ErrCode: 401) (ErrTime: 04:22:07).
Request → GET https://api-demo.bybit.com/v5/account/wallet-balance: accountType=UNIFIED.
2026-01-01 11:22:07 | INFO     | trading_bot | main.py:133 | Trading bot initialized successfully
2026-01-01 11:22:08 | INFO     | trading_bot | main.py:182 | Trading bot started
2026-01-01 11:22:08 | INFO     | trading_bot | main.py:200 | Starting main loop with 5m timeframe (300s interval)
2026-01-01 11:22:16 | ERROR    | trading_bot | main.py:166 | Failed to update balance: Http status code is not 200. (ErrCode: 401) (ErrTime: 04:22:16).
Request → GET https://api-demo.bybit.com/v5/account/wallet-balance: accountType=UNIFIED.
2026-01-01 11:22:39 | INFO     | trading_bot | main.py:457 | Received shutdown signal 2
2026-01-01 11:22:39 | INFO     | trading_bot | main.py:457 | Received shutdown signal 2
2026-01-01 11:22:40 | INFO     | trading_bot | main.py:457 | Received shutdown signal 2
2026-01-01 11:23:39 | INFO     | trading_bot | main.py:63 | Initializing trading bot...
2026-01-01 11:23:39 | INFO     | trading_bot | main.py:69 | Environment: Demo
2026-01-01 11:23:39 | INFO     | trading_bot | main.py:70 | Enabled coins: ['BTC', 'ETH', 'SOL', 'XRP', 'DOGE', 'BNB', 'ADA', 'AVAX', 'LINK', 'DOT']
2026-01-01 11:23:39 | INFO     | trading_bot | main.py:83 | Bybit API connection successful
2026-01-01 11:23:40 | INFO     | trading_bot | main.py:163 | Updated balance: $53.61
2026-01-01 11:23:40 | INFO     | trading_bot | main.py:133 | Trading bot initialized successfully
2026-01-01 11:23:40 | INFO     | trading_bot | main.py:182 | Trading bot started
2026-01-01 11:23:40 | INFO     | trading_bot | main.py:200 | Starting main loop with 5m timeframe (300s interval)
